"codigo","descricao","setor","observacao","termos_busca"
"FRESA","REFILETADORA 02","A18.08","CODIGO DUPLICADO","FRESA REFILETADORA 02 A18.08 CODIGO DUPLICADO"
"EST 10.07","","A18","","EST 10.07 A18"
"MULTIVAC 01","","PORTA A19","","MULTIVAC 01 PORTA A19"
"MULTIVAC 02","","PORTA A19","","MULTIVAC 02 PORTA A19"
"MULTIVAC 03","","PORTA A19","","MULTIVAC 03 PORTA A19"
"MULTIVAC 05","","PORTA A19","","MULTIVAC 05 PORTA A19"
"MULTIVAC 07","","PORTA A19","","MULTIVAC 07 PORTA A19"
"MULTIVAC 08","","PORTA A19","","MULTIVAC 08 PORTA A19"
"MULTIVAC 09","","PORTA A19","","MULTIVAC 09 PORTA A19"
"EMBALADORA 01","","PORTA A19","","EMBALADORA 01 PORTA A19"
"EMBALADORA 03","","PORTA A19","","EMBALADORA 03 PORTA A19"
"EMBALADORA 05","","PORTA A19","","EMBALADORA 05 PORTA A19"
"EMBALADORA 06","","PORTA A19","","EMBALADORA 06 PORTA A19"
"EMBALADORA 07","","PORTA A19","","EMBALADORA 07 PORTA A19"
"EMBALADORA 08","","PORTA A19","","EMBALADORA 08 PORTA A19"
"EMBALADORA 09","","PORTA A19","","EMBALADORA 09 PORTA A19"
"EMBALADORA 13","","PORTA A19","","EMBALADORA 13 PORTA A19"
"EMBALADORA 14","","PORTA A19","","EMBALADORA 14 PORTA A19"
"TUMBLER","","PORTA A19","","TUMBLER PORTA A19"
"ULTIMATE","","PORTA A19","","ULTIMATE PORTA A19"
"RAIO X","","PORTA A19","","RAIO X PORTA A19"
"FILETADEIRA","","PORTA A19","","FILETADEIRA PORTA A19"
"CHOAITEC","","PORTA A19","","CHOAITEC PORTA A19"
"LENKE","","PORTA A19","","LENKE PORTA A19"
"MAREL","","PORTA A19","","MAREL PORTA A19"
"MAYEKAWA 01","","PORTA A19","","MAYEKAWA 01 PORTA A19"
"MAYEKAWA 02","","PORTA A19","","MAYEKAWA 02 PORTA A19"
"TOMADAS BARREIRA S. CORTE","","PORTA A19","","TOMADAS BARREIRA S. CORTE PORTA A19"
"TOMADAS BALANCAS","","PORTA A19","","TOMADAS BALANCAS PORTA A19"
"TOMADAS SELADORAS","","PORTA A19","","TOMADAS SELADORAS PORTA A19"
"EST 06.42","","PORTA A20","","EST 06.42 PORTA A20"
"EST 10.66","","PORTA A20","","EST 10.66 PORTA A20"
"EST 101.104","","PORTA A20","","EST 101.104 PORTA A20"
"EST 101.105","","PORTA A20","","EST 101.105 PORTA A20"
"EST 101.106","","PORTA A20","","EST 101.106 PORTA A20"
"EST 101.107","","PORTA A20","","EST 101.107 PORTA A20"
"EST 06.43","","PORTA A20","","EST 06.43 PORTA A20"
"EST 101.109","","PORTA A20","","EST 101.109 PORTA A20"
"EST 10.72","","PORTA A20","","EST 10.72 PORTA A20"
"EST 101.111","","PORTA A20","","EST 101.111 PORTA A20"
"EST 101.112","","PORTA A20","","EST 101.112 PORTA A20"
"EST 101.113","","PORTA A20","","EST 101.113 PORTA A20"
"EST 101.114","","PORTA A20","","EST 101.114 PORTA A20"
"EST 101.116","","PORTA A21","","EST 101.116 PORTA A21"
"EST 101.117","","PORTA A21","","EST 101.117 PORTA A21"
"EST 101.118","","PORTA A21","","EST 101.118 PORTA A21"
"EST 101.119","","PORTA A21","","EST 101.119 PORTA A21"
"EST 101.120","","PORTA A21","","EST 101.120 PORTA A21"
"EST 101.121","","PORTA A21","","EST 101.121 PORTA A21"
"EST 101.122","","PORTA A21","","EST 101.122 PORTA A21"
"EST 101.123","","PORTA A21","","EST 101.123 PORTA A21"
"EST 101.124","","PORTA A21","","EST 101.124 PORTA A21"
"EST 19.27","","PORTA A21","","EST 19.27 PORTA A21"
"EST 19.26","","PORTA A21","","EST 19.26 PORTA A21"
"EST 13.12","","PORTA A21","","EST 13.12 PORTA A21"
"EST 13.13","","PORTA A21","","EST 13.13 PORTA A21"
"EST-19.42","TUMBLER","A21","","EST-19.42 TUMBLER A21"
"EST-12.55","OSSO CMS","B21","","EST-12.55 OSSO CMS B21"
"EST 13.02","","PORTA A22","","EST 13.02 PORTA A22"
"EST 10.53","","PORTA A22","","EST 10.53 PORTA A22"
"EST 19.08","","PORTA A22","","EST 19.08 PORTA A22"
"EST 10.73","","PORTA A22","","EST 10.73 PORTA A22"
"EST 10.75","","PORTA A22","","EST 10.75 PORTA A22"
"EST 10.77","","PORTA A22","","EST 10.77 PORTA A22"
"EST 10.70","","PORTA A22","","EST 10.70 PORTA A22"
"EST 10.80","","PORTA A22","","EST 10.80 PORTA A22"
"EST 10.67","","PORTA A22","","EST 10.67 PORTA A22"
"EST 19.09","","PORTA A22","","EST 19.09 PORTA A22"
"EST 19.23","","PORTA A22","","EST 19.23 PORTA A22"
"EST 09.23","","PORTA A22","","EST 09.23 PORTA A22"
"EST 09.24","","PORTA A22","","EST 09.24 PORTA A22"
"EST 09.05C","","PORTA A22","","EST 09.05C PORTA A22"
"EST-12.56","OSSO CMS","B22","","EST-12.56 OSSO CMS B22"
"EST 17.24","","PORTA A23","","EST 17.24 PORTA A23"
"EST 17.23","","PORTA A23","","EST 17.23 PORTA A23"
"EST 17.02","","PORTA A23","","EST 17.02 PORTA A23"
"EST 17.03","","PORTA A23","","EST 17.03 PORTA A23"
"EST 17.04","","PORTA A23","","EST 17.04 PORTA A23"
"EST 17.11","","PORTA A23","","EST 17.11 PORTA A23"
"EST 12.40","","PORTA A23","","EST 12.40 PORTA A23"
"EST-12.58","OSSO COXA","B23","","EST-12.58 OSSO COXA B23"
"EST-12.59","OSSO COXA","B23","","EST-12.59 OSSO COXA B23"
"EST 19.41","","B22.14","CODIGO DUPLICADO","EST 19.41 B22.14 CODIGO DUPLICADO"
"8.7","","PORTA B4","","8.7 PORTA B4"
"8.8","","PORTA B4","","8.8 PORTA B4"
"8.9","","PORTA B4","","8.9 PORTA B4"
"8.10","","PORTA B4","","8.10 PORTA B4"
"8.11","","PORTA B4","","8.11 PORTA B4"
"8.12","","PORTA B4","","8.12 PORTA B4"
"8.13","","PORTA B4","","8.13 PORTA B4"
"8.14","","PORTA B4","","8.14 PORTA B4"
"8.15","","PORTA B4","","8.15 PORTA B4"
"8.16","","PORTA B4","","8.16 PORTA B4"
"8.17","","PORTA B4","","8.17 PORTA B4"
"8.18","","PORTA B4","","8.18 PORTA B4"
"8.19","","PORTA B4","","8.19 PORTA B4"
"8.20","","PORTA B4","","8.20 PORTA B4"
"9.7","","PORTA B4","","9.7 PORTA B4"
"9.8","","PORTA B4","","9.8 PORTA B4"
"9.9","","PORTA B4","","9.9 PORTA B4"
"9.10","","PORTA B4","","9.10 PORTA B4"
"9.11","","PORTA B4","","9.11 PORTA B4"
"9.12","","PORTA B4","","9.12 PORTA B4"
"9.13","","PORTA B4","","9.13 PORTA B4"
"9.14","","PORTA B4","","9.14 PORTA B4"
"9.15","","PORTA B4","","9.15 PORTA B4"
"9.16","","PORTA B4","","9.16 PORTA B4"
"9.17","","PORTA B4","","9.17 PORTA B4"
"9.18","","PORTA B4","","9.18 PORTA B4"
"9.19","","PORTA B4","","9.19 PORTA B4"
"9.20","","PORTA B4","","9.20 PORTA B4"
"9.27","","PORTA B4","","9.27 PORTA B4"
"9.28","","PORTA B4","","9.28 PORTA B4"
"9.29","","PORTA B4","","9.29 PORTA B4"
"9.31","","PORTA B4","","9.31 PORTA B4"
"9.32","","PORTA B4","","9.32 PORTA B4"
"9.33","","PORTA B4","","9.33 PORTA B4"
"9.34","","PORTA B4","","9.34 PORTA B4"
"9.35","","PORTA B4","","9.35 PORTA B4"
"9.36","","PORTA B4","","9.36 PORTA B4"
"9.37","","PORTA B4","","9.37 PORTA B4"
"BOMBA CMS 01","","PORTA B7","","BOMBA CMS 01 PORTA B7"
"MAQUINA CMS 01","","PORTA B7","","MAQUINA CMS 01 PORTA B7"
"ESTEIRA CMS 00.13","","PORTA B7","","ESTEIRA CMS 00.13 PORTA B7"
"PARTIDA EXAUSTORES","","PORTA B8","","PARTIDA EXAUSTORES PORTA B8"
"LAVA BOTAS/SALA ERCIO","","PORTA B8","","LAVA BOTAS/SALA ERCIO PORTA B8"
"ELEVADOR DESCARGA FRANGO","","PORTA B8","","ELEVADOR DESCARGA FRANGO PORTA B8"
"CASA BOMBAS","","PORTA B8","","CASA BOMBAS PORTA B8"
"LAVADOR CAIXAS","","PORTA B8","","LAVADOR CAIXAS PORTA B8"
"PAINEL RECHILLER DO PRE","","PORTA B8","","PAINEL RECHILLER DO PRE PORTA B8"
"EMPILHADOR GAIOLAS","","PORTA B8","","EMPILHADOR GAIOLAS PORTA B8"
"REPASSE MOELA 01","","PORTA B8","","REPASSE MOELA 01 PORTA B8"
"REPASSE MOELA 02","","PORTA B8","","REPASSE MOELA 02 PORTA B8"
"PENEIRA ROTATIVA FILE","","PORTA B8","","PENEIRA ROTATIVA FILE PORTA B8"
"EST 19.21","","PORTA B11","","EST 19.21 PORTA B11"
"EST 19.22","SEQUENCIA 2/6","PORTA B11","","EST 19.22 SEQUENCIA 2/6 PORTA B11"
"19.16","TRITURADOR DE OSSO","PORTA B11","","19.16 TRITURADOR DE OSSO PORTA B11"
"19.17","EST. TRITURADOR DE OSSO","PORTA B11","","19.17 EST. TRITURADOR DE OSSO PORTA B11"
"08.25","LIMPA TRIPA","PORTA B13","CODIGO DUPLICADO","08.25 LIMPA TRIPA PORTA B13 CODIGO DUPLICADO"
"09.39","BOMBA CMS 03","PORTA B13","CODIGO DUPLICADO","09.39 BOMBA CMS 03 PORTA B13 CODIGO DUPLICADO"
"08.04","CHARUTO PATAS","PORTA B13","","08.04 CHARUTO PATAS PORTA B13"
"09.08","BOMBA REUSO CHILLER","PORTA B13","","09.08 BOMBA REUSO CHILLER PORTA B13"
"EST 06.30","","PORTA B13","","EST 06.30 PORTA B13"
"BADDER 01","","PORTA B13","","BADDER 01 PORTA B13"
"BADDER 02","","PORTA B13","","BADDER 02 PORTA B13"
"BADDER 03","","PORTA B13","","BADDER 03 PORTA B13"
"CORTE AUTOMATICO","","PORTA B13","","CORTE AUTOMATICO PORTA B13"
"LAVADOR DE LUVAS","","PORTA B13","","LAVADOR DE LUVAS PORTA B13"
"DPT00.01","LIMPA LINHA","PORTA B13","CODIGO DUPLICADO","DPT00.01 LIMPA LINHA PORTA B13 CODIGO DUPLICADO"
"VACUO PATAS 01","","PORTA B13","","VACUO PATAS 01 PORTA B13"
"VACUO PATAS 02","","PORTA B13","","VACUO PATAS 02 PORTA B13"
"BOMBA CMS 02","SEM TAG INVERSOR","PORTA B13","CODIGO DUPLICADO","BOMBA CMS 02 SEM TAG INVERSOR PORTA B13 CODIGO DUPLICADO"
"EMBALADORA 10","","PORTA B13","","EMBALADORA 10 PORTA B13"
"PAINEL SANGRADOR","","PORTA B13","","PAINEL SANGRADOR PORTA B13"
"06.30","","PORTA B14","","06.30 PORTA B14"
"08.25","","PORTA B14","CODIGO DUPLICADO","08.25 PORTA B14 CODIGO DUPLICADO"
"09.39","CMS03 BOMBA","PORTA B14","CODIGO DUPLICADO","09.39 CMS03 BOMBA PORTA B14 CODIGO DUPLICADO"
"8.4","CHARUTO DE PATAS","PORTA B14","","8.4 CHARUTO DE PATAS PORTA B14"
"BOMBA 01 VACUO DE PATAS","","PORTA B14","","BOMBA 01 VACUO DE PATAS PORTA B14"
"BOMBA 02 VACUO DE PATAS","","PORTA B14","","BOMBA 02 VACUO DE PATAS PORTA B14"
"BOMBA MAQUINA CMS 02","ACIONAMENTO B15/K01","PORTA B14","","BOMBA MAQUINA CMS 02 ACIONAMENTO B15/K01 PORTA B14"
"6.30","BOMBA DE SANGUE","PORTA B14","","6.30 BOMBA DE SANGUE PORTA B14"
"MAQUINA CMS 02","","PORTA B15","","MAQUINA CMS 02 PORTA B15"
"AR CONDICIONADO AUTOMACAO","","PORTA B15","","AR CONDICIONADO AUTOMACAO PORTA B15"
"AR CONDICIONADO SHELF LIFE","","PORTA B15","","AR CONDICIONADO SHELF LIFE PORTA B15"
"AR CONDICIONADO CARIMBO","","PORTA B15","","AR CONDICIONADO CARIMBO PORTA B15"
"TOMADAS SECUNDARIAS","","PORTA B15","","TOMADAS SECUNDARIAS PORTA B15"
"SAIDA NOBREAK","","PORTA B15","","SAIDA NOBREAK PORTA B15"
"RELOGIO PONTO 01","","PORTA B15","","RELOGIO PONTO 01 PORTA B15"
"RELOGIO PONTO 02","","PORTA B15","","RELOGIO PONTO 02 PORTA B15"
"TOMADAS BALANCAS RESFRIAMENTO","","PORTA B15","","TOMADAS BALANCAS RESFRIAMENTO PORTA B15"
"BOMBA CMS 02","CONTATORA K01 INVERSOR B14","PORTA B15","CODIGO DUPLICADO","BOMBA CMS 02 CONTATORA K01 INVERSOR B14 PORTA B15 CODIGO DUPLICADO"
"DEPA00.01","CHARUTO PATAS 8.4","PORTA B16","","DEPA00.01 CHARUTO PATAS 8.4 PORTA B16"
"EST 12.93","","PORTA B16","","EST 12.93 PORTA B16"
"EST 12.94","","PORTA B16","","EST 12.94 PORTA B16"
"09.38","SOFT","PORTA B16","","09.38 SOFT PORTA B16"
"09.40","SOFT","PORTA B16","","09.40 SOFT PORTA B16"
"09.36","SOFT","PORTA B16","","09.36 SOFT PORTA B16"
"09.41","SOFT","PORTA B16","","09.41 SOFT PORTA B16"
"09.42","SOFT","PORTA B16","","09.42 SOFT PORTA B16"
"09.37","SOFT","PORTA B16","","09.37 SOFT PORTA B16"
"08.27","SOFT - VACUO DO PULMAO BOM00.35","PORTA B16","","08.27 SOFT - VACUO DO PULMAO BOM00.35 PORTA B16"
"09.04","SOPRADOR CHILLER","PORTA B16","","09.04 SOPRADOR CHILLER PORTA B16"
"MEXEDOR TUMBLER","","PORTA B16","","MEXEDOR TUMBLER PORTA B16"
"LAVADOR DE FRANGO","","PORTA B16","","LAVADOR DE FRANGO PORTA B16"
"EST 13.05","","PORTA B19","","EST 13.05 PORTA B19"
"EST 12.50","","PORTA B19","","EST 12.50 PORTA B19"
"EST 13.04","","PORTA B19","","EST 13.04 PORTA B19"
